,alignment,condition,accuracy,sub,age,gender
0,misaligned,same,0.4166666666666667,UX6XX6,4.931506849315069,m
1,misaligned,same,1.0,ZFEcFW,4.191780821917808,f
2,misaligned,same,1.0,FMNR4U,4.602739726027397,f
3,misaligned,same,1.0,QWFWAQ,6.904109589041096,f
4,misaligned,same,0.9166666666666666,PHM3KT,5.835616438356165,f
5,misaligned,same,1.0,TMBc4N,4.931506849315069,m
6,misaligned,same,1.0,NRHSFK,5.506849315068493,m
7,misaligned,same,0.9166666666666666,BK45G2,4.767123287671233,m
8,misaligned,same,1.0,ADUJcY,6.082191780821918,m
9,misaligned,same,1.0,YdTJH7,5.424657534246576,f
10,misaligned,same,0.6666666666666666,TKA647,4.109589041095891,m
11,misaligned,same,1.0,JLCN7S,5.506849315068493,f
12,misaligned,same,0.9090909090909091,3R2CUC,5.835616438356165,f
13,misaligned,same,0.6,LcYFQM,5.506849315068493,f
14,misaligned,same,0.5833333333333334,BUR2PY,4.191780821917808,m
15,misaligned,same,0.9090909090909091,EV5Z3R,5.671232876712328,m
16,misaligned,same,0.6666666666666666,WKCNHd,5.260273972602739,m
17,misaligned,same,0.7272727272727273,REMYW7,4.273972602739726,f
18,misaligned,same,0.8333333333333334,CVLEAG,4.8493150684931505,f
19,misaligned,same,0.9166666666666666,W7Y6C5,5.424657534246576,m
20,misaligned,same,0.6666666666666666,KEEN74,5.589041095890411,m
21,misaligned,same,0.8181818181818182,ACXXZ7,4.767123287671233,m
22,misaligned,same,1.0,VLB4L4,5.671232876712328,f
23,misaligned,same,0.9166666666666666,EQXFYM,5.095890410958904,m
24,misaligned,same,1.0,Z7CAJd,6.082191780821918,f
25,misaligned,same,0.5454545454545454,7P6WGH,5.917808219178082,f
26,misaligned,same,0.5454545454545454,GC34M3,4.602739726027397,f
27,misaligned,same,1.0,5QcHDS,4.3561643835616435,f
28,misaligned,same,0.5833333333333334,4ST2Rd,4.684931506849315,m
29,misaligned,same,1.0,QLJ6L2,4.273972602739726,f
30,misaligned,same,1.0,VL6G4F,4.602739726027397,m
31,misaligned,same,0.9090909090909091,CQNccL,5.013698630136986,f
32,misaligned,same,0.7272727272727273,VARPcD,4.767123287671233,f
33,misaligned,same,1.0,A2VYCT,5.342465753424658,f
34,misaligned,same,1.0,cFUURR,6.410958904109589,f
35,misaligned,same,1.0,NESJTV,5.671232876712328,m
36,misaligned,same,1.0,PKKXND,5.671232876712328,m
37,misaligned,same,0.9166666666666666,5A3dF5,6.493150684931507,f
38,misaligned,same,0.2727272727272727,QEENND,6.164383561643835,m
39,misaligned,same,0.5454545454545454,RL5c27,5.095890410958904,o
40,misaligned,same,0.8,6FBUKN,4.931506849315069,f
41,misaligned,same,1.0,NdcEQS,6.410958904109589,f
42,misaligned,same,0.9090909090909091,ZFCGPB,6.986301369863014,f
43,misaligned,same,1.0,HZD5P2,6.739726027397261,m
44,misaligned,same,0.9090909090909091,LV7BXL,6.410958904109589,m
45,misaligned,same,1.0,FQcUQT,5.506849315068493,m
46,misaligned,same,0.5,VXA7XE,5.917808219178082,m
47,misaligned,same,0.7272727272727273,2H7PLP,5.260273972602739,m
48,misaligned,same,0.9166666666666666,TSZUY4,5.506849315068493,m
49,misaligned,same,0.8333333333333334,JMTYZH,5.095890410958904,m
50,misaligned,same,0.6666666666666666,BcD7QG,4.027397260273973,m
51,misaligned,same,0.75,6RPUM7,4.273972602739726,m
52,misaligned,same,0.8181818181818182,cdPUJD,5.589041095890411,m
53,misaligned,same,0.2727272727272727,TQ5R7T,5.506849315068493,f
54,misaligned,same,1.0,4LVKMA,6.082191780821918,m
55,misaligned,same,1.0,cHT4YU,6.2465753424657535,f
56,misaligned,same,1.0,JY6LQ2,6.164383561643835,f
57,misaligned,same,1.0,U672B2,5.835616438356165,f
58,misaligned,same,1.0,WF4NVS,4.684931506849315,m
59,misaligned,same,0.9166666666666666,FWYC7C,5.424657534246576,f
60,misaligned,same,0.9090909090909091,PB3BCS,4.767123287671233,f
61,misaligned,same,1.0,TNSEWV,4.767123287671233,m
62,misaligned,same,0.9090909090909091,V72TLK,6.739726027397261,f
63,misaligned,same,1.0,XV65MW,6.164383561643835,f
64,misaligned,same,1.0,WWYcKQ,5.424657534246576,f
65,misaligned,same,0.5,ZAMEDX,4.191780821917808,m
66,misaligned,same,1.0,QPRR32,6.904109589041096,f
67,misaligned,same,1.0,3W34dW,6.0,f
68,misaligned,same,0.9,PHFCV3,5.342465753424658,f
69,misaligned,same,0.0,VFFF4H,4.191780821917808,m
70,misaligned,same,0.2727272727272727,CJdTB6,4.3561643835616435,m
71,misaligned,same,0.9166666666666666,TV373M,6.657534246575342,m
72,misaligned,same,0.9166666666666666,CRVCXD,6.986301369863014,m
73,misaligned,same,0.9166666666666666,YPdQNV,4.109589041095891,f
74,misaligned,same,0.8181818181818182,7cNKKD,5.342465753424658,m
75,misaligned,same,1.0,CZGRED,5.506849315068493,m
76,misaligned,same,0.8181818181818182,663UJX,6.986301369863014,f
77,misaligned,same,1.0,KMGJCF,6.575342465753424,m
78,misaligned,same,1.0,FZLQ2Y,4.602739726027397,m
79,misaligned,same,0.9166666666666666,33UX2S,5.7534246575342465,f
80,misaligned,same,0.3333333333333333,H2VVXG,4.191780821917808,f
81,misaligned,same,0.9166666666666666,F4AJSB,5.342465753424658,m
82,misaligned,same,0.9,4UE4J2,5.506849315068493,m
83,misaligned,same,1.0,ZTYVTW,4.027397260273973,f
84,misaligned,same,0.5833333333333334,R52TRD,4.027397260273973,m
85,misaligned,same,0.9166666666666666,ZJPWHP,6.328767123287672,m
86,misaligned,same,1.0,RJRCRR,5.917808219178082,f
87,misaligned,same,1.0,CECNMS,4.3561643835616435,m
88,misaligned,same,0.75,5cKP4G,6.410958904109589,m
89,misaligned,same,0.7272727272727273,SNURNN,4.52054794520548,m
90,misaligned,same,0.5833333333333334,7AZPQD,4.438356164383562,f
91,misaligned,same,1.0,2TGKCT,6.657534246575342,f
92,misaligned,same,0.9,K6FGHF,6.493150684931507,m
93,misaligned,same,0.9090909090909091,dEEK22,6.739726027397261,f
94,misaligned,same,0.2727272727272727,ZRHCPK,4.273972602739726,m
95,misaligned,same,1.0,dcXZY4,6.904109589041096,m
96,misaligned,same,0.5454545454545454,7BKKNM,4.3561643835616435,f
97,misaligned,same,0.8,MR5U5N,4.3561643835616435,m
98,misaligned,same,1.0,5SAMNS,5.589041095890411,m
99,misaligned,same,1.0,C57ASP,6.904109589041096,m
100,misaligned,same,1.0,LA6RF5,5.260273972602739,m
101,misaligned,same,0.8181818181818182,42cZAM,6.657534246575342,f
102,misaligned,same,0.8333333333333334,TLLBVC,6.986301369863014,f
103,misaligned,same,0.5833333333333334,RNcVC3,4.684931506849315,f
104,misaligned,same,0.5833333333333334,2G2AL4,4.3561643835616435,m
105,misaligned,same,1.0,X37SMJ,5.917808219178082,f
106,misaligned,same,0.6,G277c4,4.109589041095891,m
107,misaligned,same,0.9090909090909091,Uc5HAY,6.2465753424657535,f
108,misaligned,same,0.9090909090909091,dHWQWK,5.7534246575342465,f
109,misaligned,same,0.9166666666666666,46QP6X,4.684931506849315,f
110,misaligned,same,0.36363636363636365,PD62cC,4.191780821917808,f
111,misaligned,same,1.0,RKQERS,4.109589041095891,m
112,misaligned,same,0.9166666666666666,QYYW46,5.342465753424658,f
113,misaligned,same,0.7272727272727273,CdBSPP,4.109589041095891,f
114,misaligned,same,0.9166666666666666,F4LDT2,5.260273972602739,m
115,misaligned,same,1.0,c2JcAQ,4.931506849315069,m
116,misaligned,same,0.9,34RM3G,6.575342465753424,m
117,misaligned,same,0.08333333333333333,FKJTLd,4.191780821917808,m
118,misaligned,same,0.8181818181818182,MX7YEJ,6.575342465753424,m
119,misaligned,same,1.0,XUS5CL,4.109589041095891,f
120,misaligned,same,0.7272727272727273,DH27SD,6.0,m
121,misaligned,same,1.0,KKY3TT,5.342465753424658,f
122,misaligned,same,1.0,QE5J2H,5.424657534246576,m
123,misaligned,same,0.8181818181818182,WScYBT,5.7534246575342465,m
124,misaligned,same,1.0,VYHNXF,6.328767123287672,m
125,misaligned,same,1.0,RU4MYJ,4.438356164383562,m
126,misaligned,same,1.0,BNRGKZ,5.260273972602739,f
127,misaligned,same,0.9,RRA4CB,5.506849315068493,f
128,misaligned,same,0.6363636363636364,GYYNLD,4.3561643835616435,m
129,misaligned,same,0.9166666666666666,RNCZJc,6.739726027397261,m
130,misaligned,same,0.9166666666666666,RP2HDS,6.904109589041096,f
131,misaligned,same,0.8181818181818182,EHHRXd,4.767123287671233,m
132,misaligned,same,1.0,NTYN3N,5.095890410958904,f
133,aligned,same,0.8181818181818182,UX6XX6,4.931506849315069,m
134,aligned,same,0.8181818181818182,ZFEcFW,4.191780821917808,f
135,aligned,same,0.9166666666666666,FMNR4U,4.602739726027397,f
136,aligned,same,0.8888888888888888,QWFWAQ,6.904109589041096,f
137,aligned,same,0.6,PHM3KT,5.835616438356165,f
138,aligned,same,0.75,TMBc4N,4.931506849315069,m
139,aligned,same,0.9090909090909091,NRHSFK,5.506849315068493,m
140,aligned,same,1.0,BK45G2,4.767123287671233,m
141,aligned,same,1.0,ADUJcY,6.082191780821918,m
142,aligned,same,0.9166666666666666,YdTJH7,5.424657534246576,f
143,aligned,same,0.5,TKA647,4.109589041095891,m
144,aligned,same,0.8333333333333334,JLCN7S,5.506849315068493,f
145,aligned,same,0.7272727272727273,3R2CUC,5.835616438356165,f
146,aligned,same,0.25,LcYFQM,5.506849315068493,f
147,aligned,same,0.4166666666666667,BUR2PY,4.191780821917808,m
148,aligned,same,0.75,EV5Z3R,5.671232876712328,m
149,aligned,same,0.45454545454545453,WKCNHd,5.260273972602739,m
150,aligned,same,0.75,REMYW7,4.273972602739726,f
151,aligned,same,0.9090909090909091,CVLEAG,4.8493150684931505,f
152,aligned,same,0.5454545454545454,W7Y6C5,5.424657534246576,m
153,aligned,same,0.6363636363636364,KEEN74,5.589041095890411,m
154,aligned,same,0.6666666666666666,ACXXZ7,4.767123287671233,m
155,aligned,same,1.0,VLB4L4,5.671232876712328,f
156,aligned,same,0.9090909090909091,EQXFYM,5.095890410958904,m
157,aligned,same,0.9,Z7CAJd,6.082191780821918,f
158,aligned,same,0.45454545454545453,7P6WGH,5.917808219178082,f
159,aligned,same,0.36363636363636365,GC34M3,4.602739726027397,f
160,aligned,same,0.75,5QcHDS,4.3561643835616435,f
161,aligned,same,0.36363636363636365,4ST2Rd,4.684931506849315,m
162,aligned,same,0.75,QLJ6L2,4.273972602739726,f
163,aligned,same,0.0,VL6G4F,4.602739726027397,m
164,aligned,same,0.75,CQNccL,5.013698630136986,f
165,aligned,same,0.6,VARPcD,4.767123287671233,f
166,aligned,same,0.8333333333333334,A2VYCT,5.342465753424658,f
167,aligned,same,0.75,cFUURR,6.410958904109589,f
168,aligned,same,1.0,NESJTV,5.671232876712328,m
169,aligned,same,0.75,PKKXND,5.671232876712328,m
170,aligned,same,0.7272727272727273,5A3dF5,6.493150684931507,f
171,aligned,same,0.08333333333333333,QEENND,6.164383561643835,m
172,aligned,same,0.3333333333333333,RL5c27,5.095890410958904,o
173,aligned,same,0.5,6FBUKN,4.931506849315069,f
174,aligned,same,0.7,NdcEQS,6.410958904109589,f
175,aligned,same,1.0,ZFCGPB,6.986301369863014,f
176,aligned,same,0.7272727272727273,HZD5P2,6.739726027397261,m
177,aligned,same,0.5833333333333334,LV7BXL,6.410958904109589,m
178,aligned,same,0.8333333333333334,FQcUQT,5.506849315068493,m
179,aligned,same,0.6363636363636364,VXA7XE,5.917808219178082,m
180,aligned,same,0.5833333333333334,2H7PLP,5.260273972602739,m
181,aligned,same,0.9090909090909091,TSZUY4,5.506849315068493,m
182,aligned,same,0.7272727272727273,JMTYZH,5.095890410958904,m
183,aligned,same,0.5833333333333334,BcD7QG,4.027397260273973,m
184,aligned,same,0.9,6RPUM7,4.273972602739726,m
185,aligned,same,0.45454545454545453,cdPUJD,5.589041095890411,m
186,aligned,same,0.08333333333333333,TQ5R7T,5.506849315068493,f
187,aligned,same,1.0,4LVKMA,6.082191780821918,m
188,aligned,same,1.0,cHT4YU,6.2465753424657535,f
189,aligned,same,1.0,JY6LQ2,6.164383561643835,f
190,aligned,same,0.8181818181818182,U672B2,5.835616438356165,f
191,aligned,same,0.9166666666666666,WF4NVS,4.684931506849315,m
192,aligned,same,0.7272727272727273,FWYC7C,5.424657534246576,f
193,aligned,same,1.0,PB3BCS,4.767123287671233,f
194,aligned,same,0.9166666666666666,TNSEWV,4.767123287671233,m
195,aligned,same,0.25,V72TLK,6.739726027397261,f
196,aligned,same,0.4166666666666667,XV65MW,6.164383561643835,f
197,aligned,same,0.9090909090909091,WWYcKQ,5.424657534246576,f
198,aligned,same,0.25,ZAMEDX,4.191780821917808,m
199,aligned,same,1.0,QPRR32,6.904109589041096,f
200,aligned,same,0.8333333333333334,3W34dW,6.0,f
201,aligned,same,0.36363636363636365,PHFCV3,5.342465753424658,f
202,aligned,same,0.09090909090909091,VFFF4H,4.191780821917808,m
203,aligned,same,0.5454545454545454,CJdTB6,4.3561643835616435,m
204,aligned,same,0.6666666666666666,TV373M,6.657534246575342,m
205,aligned,same,0.6363636363636364,CRVCXD,6.986301369863014,m
206,aligned,same,1.0,YPdQNV,4.109589041095891,f
207,aligned,same,0.6363636363636364,7cNKKD,5.342465753424658,m
208,aligned,same,0.9090909090909091,CZGRED,5.506849315068493,m
209,aligned,same,0.6363636363636364,663UJX,6.986301369863014,f
210,aligned,same,0.6363636363636364,KMGJCF,6.575342465753424,m
211,aligned,same,0.6666666666666666,FZLQ2Y,4.602739726027397,m
212,aligned,same,0.3333333333333333,33UX2S,5.7534246575342465,f
213,aligned,same,0.5,H2VVXG,4.191780821917808,f
214,aligned,same,0.6666666666666666,F4AJSB,5.342465753424658,m
215,aligned,same,1.0,4UE4J2,5.506849315068493,m
216,aligned,same,0.2,ZTYVTW,4.027397260273973,f
217,aligned,same,0.4166666666666667,R52TRD,4.027397260273973,m
218,aligned,same,0.8181818181818182,ZJPWHP,6.328767123287672,m
219,aligned,same,1.0,RJRCRR,5.917808219178082,f
220,aligned,same,1.0,CECNMS,4.3561643835616435,m
221,aligned,same,0.45454545454545453,5cKP4G,6.410958904109589,m
222,aligned,same,0.5,SNURNN,4.52054794520548,m
223,aligned,same,0.75,7AZPQD,4.438356164383562,f
224,aligned,same,0.9166666666666666,2TGKCT,6.657534246575342,f
225,aligned,same,0.8333333333333334,K6FGHF,6.493150684931507,m
226,aligned,same,0.5833333333333334,dEEK22,6.739726027397261,f
227,aligned,same,0.25,ZRHCPK,4.273972602739726,m
228,aligned,same,0.8181818181818182,dcXZY4,6.904109589041096,m
229,aligned,same,0.45454545454545453,7BKKNM,4.3561643835616435,f
230,aligned,same,0.5,MR5U5N,4.3561643835616435,m
231,aligned,same,0.9,5SAMNS,5.589041095890411,m
232,aligned,same,0.8181818181818182,C57ASP,6.904109589041096,m
233,aligned,same,0.4166666666666667,LA6RF5,5.260273972602739,m
234,aligned,same,0.4166666666666667,42cZAM,6.657534246575342,f
235,aligned,same,0.8181818181818182,TLLBVC,6.986301369863014,f
236,aligned,same,0.7272727272727273,RNcVC3,4.684931506849315,f
237,aligned,same,0.3333333333333333,2G2AL4,4.3561643835616435,m
238,aligned,same,1.0,X37SMJ,5.917808219178082,f
239,aligned,same,0.5833333333333334,G277c4,4.109589041095891,m
240,aligned,same,0.9166666666666666,Uc5HAY,6.2465753424657535,f
241,aligned,same,0.7,dHWQWK,5.7534246575342465,f
242,aligned,same,0.9090909090909091,46QP6X,4.684931506849315,f
243,aligned,same,0.36363636363636365,PD62cC,4.191780821917808,f
244,aligned,same,1.0,RKQERS,4.109589041095891,m
245,aligned,same,0.5454545454545454,QYYW46,5.342465753424658,f
246,aligned,same,0.5454545454545454,CdBSPP,4.109589041095891,f
247,aligned,same,0.8333333333333334,F4LDT2,5.260273972602739,m
248,aligned,same,0.7,c2JcAQ,4.931506849315069,m
249,aligned,same,1.0,34RM3G,6.575342465753424,m
250,aligned,same,0.08333333333333333,FKJTLd,4.191780821917808,m
251,aligned,same,0.7,MX7YEJ,6.575342465753424,m
252,aligned,same,1.0,XUS5CL,4.109589041095891,f
253,aligned,same,0.8333333333333334,DH27SD,6.0,m
254,aligned,same,1.0,KKY3TT,5.342465753424658,f
255,aligned,same,0.8333333333333334,QE5J2H,5.424657534246576,m
256,aligned,same,0.8333333333333334,WScYBT,5.7534246575342465,m
257,aligned,same,0.5454545454545454,VYHNXF,6.328767123287672,m
258,aligned,same,0.36363636363636365,RU4MYJ,4.438356164383562,m
259,aligned,same,0.7272727272727273,BNRGKZ,5.260273972602739,f
260,aligned,same,0.6363636363636364,RRA4CB,5.506849315068493,f
261,aligned,same,0.5454545454545454,GYYNLD,4.3561643835616435,m
262,aligned,same,1.0,RNCZJc,6.739726027397261,m
263,aligned,same,0.3333333333333333,RP2HDS,6.904109589041096,f
264,aligned,same,0.9166666666666666,EHHRXd,4.767123287671233,m
265,aligned,same,0.9,NTYN3N,5.095890410958904,f
266,misaligned,different,0.6666666666666666,UX6XX6,4.931506849315069,m
267,misaligned,different,1.0,ZFEcFW,4.191780821917808,f
268,misaligned,different,0.3333333333333333,FMNR4U,4.602739726027397,f
